30250100, 統計学基礎, 4, 生命科学科 生命医工学コース, 後期, 大宮, 総合科目
N2270700, 人間工学, 3, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2860200, データサイエンス(応用), 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N1620500, システム科学, 2, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2675100, データサイエンスリテラシー, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N3024070, システム理工学入門, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2675200, AI基礎, 2, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2900000, Advanced Systems Science and Engineering, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N0010900, 生命科学概論, 4, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0020802, 解剖学, 4, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0030702, 生理学I, 1, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0050502, 医学概論, 1, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N2691600, Basic Bioscience, 1, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0345002, 有機化学II, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0430702, 生理学II, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0685812, 機械設計製作演習, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0846102, 生命科学実験A, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0425802, 食品栄養学, 2, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0846202, 生命科学実験B, 2, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N2691500, Embedded Control Systems （International Training）, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0755012, 医療福祉機器設計演習, 2, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0130500, 公衆衛生学, 3, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0846402, 応用生命科学実験, 3, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0846500, キャリアデザイン, 3, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0910100, 総合研究I（アズハムズルカルナイン）, 3, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0910200, 総合研究II（アズハムズルカルナイン）, 3, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0040602, 分子生物学, 2, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0060402, 微生物学, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0110702, 発生遺伝学, 2, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0120602, 環境化学, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0140402, 生命倫理, 2, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0160202, 生命統計学, 1, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0390502, 生化学, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N2680202, 生体計測学, 2, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0190200, Advanced Bioscience, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0190300, Assistive Technology, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専門
N0190500, Genetic Engineering, 2, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0190400, Basic Molecular　Biologｙ, 1, 生命科学科 生命医工学コース, 前期, 大宮, 専門
N0180200, グローバル課題解決実習, 1, 生命科学科 生命医工学コース, 後期, 大宮, 専
