S2045000, 統計学基礎, 1, SA:空間・建築デザインコース, 前期, 豊洲, 数理基礎科目
S0467001, 鉄筋コンクリート造の設計1, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0470001, 鋼構造の設計, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0473001, 建築環境実験, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0476001, 建築材料施工実験, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0479001, 建築構造実験, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0539001, 建築文化史, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0464001, 建築振動解析, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0485001, プロジェクトゼミ, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0488000, 建築英語, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0491000, G I S 演習, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0494000, 建築音響計画, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0497000, 給排水システム計画, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0500000, 光環境計画, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0503000, 基礎構造, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0506000, 鉄筋コンクリート造の設計2, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0509000, マトリックス構造解析, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0512000, 建築防災, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0515000, 維持保全・改修, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0518001, 空間地域デザイン演習, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0521001, ランドスケープ論, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0542001, 近代建築史, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0545001, 施工計画・管理, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0551001, 木造建築の設計, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0557001, 建築環境学, 3, SA:空間・建築デザインコース, 前期, 豊洲, 専門科目
S0816000, インターンシップ1, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0819000, インターンシップ2, 2, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0610001, 建築家職能論, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（秋元孝之）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（小澤雄樹）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（蟹澤宏剛）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（椛山健二）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（岸田慎司）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（隈澤文俊）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（栗島英明）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（桑田仁）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（古賀純子）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（郷田修身）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（佐藤宏亮）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（志手一哉）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（篠崎道彦）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（清水郁郎）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（志村秀明）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（谷口大造）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（西沢大良）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（西村直也）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（濱崎仁）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（前田英寿）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（村上公哉）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（山代悟）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（浅田勇人）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（猪熊純）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（岡崎瑠美）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（小塙芳秀）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（小柏典華）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0613000, 卒業研究1（對馬聖菜）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（秋元孝之）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（小澤雄樹）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（蟹澤宏剛）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（椛山健二）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（岸田慎司）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（隈澤文俊）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（栗島英明）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（桑田仁）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（古賀純子）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（郷田修身）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（佐藤宏亮）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（志手一哉）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（篠崎道彦）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（清水郁郎）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（志村秀明）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（谷口大造）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（西沢大良）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（西村直也）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門科目
S0616000, 卒業研究2（濱崎仁）, 3, SA:空間・建築デザインコース, 後期, 豊洲, 専門
